Day,Cases,Active,Tests,Deaths,recovered
2020-03-02 19:15,1,1,50,0,0
2020-03-03 20:00,2,2,100,0,0
2020-03-04 17:30,3,3,250,0,0
2020-03-06 17:50,4,4,300,0,0
2020-03-07 16:30,6,6,331,0,0
2020-03-08 16:30,6,6,380,0,0
2020-03-09 16:30,6,5,382,1,0
2020-03-10 16:30,6,5,432,1,0
2020-03-11 9:45,10,9,464,1,0
2020-03-11 17:20,11,10,500,1,0
2020-03-12 8:15,12,11,550,1,0
2020-03-13 9:30,20,19,589,1,0
2020-03-14 8:50,28,27,650,1,0
2020-03-14 18:50,52,51,743,1,0
2020-03-15 15:00,55,54,818,1,0
2020-03-16 8:25,72,71,878,1,0
2020-03-16 19:00,75,74,965,1,0
2020-03-17 8:00,90,89,1050,1,0
2020-03-17 21:45,114,113,1100,1,0
2020-03-18 15:00,130,129,1164,1,0
2020-03-19 8:00,145,144,1223,1,0
2020-03-19 19:30,162,161,1291,1,0
2020-03-20 17:25,177,176,1404,1,0
2020-03-21 16:30,198,197,1540,1,0
2020-03-22 13:30,207,206,1702,1,0
2020-03-22 21:30,219,218,1735,1,0
2020-03-23 7:50,229,227,1739,2,0
2020-03-23 19:55,235,233,1840,2,0
2020-03-24 7:45,241,239,1893,2,0
2020-03-24 12:40,242,239,1893,3,0
2020-03-24 20:15,251,245,2000,4,2
2020-03-25 9:30,267,259,2124,5,3
2020-03-25 18:45,282,274,2249,5,3
2020-03-26,300,287,2428,5,8
2020-03-26 20:00,314,284,2537,6,2
2020-03-27 8:30,328,298,2570,6,24
2020-03-27 21:30,356,324,2693,6,26
2020-03-28 15:00,361,309,2811,6,46
2020-03-28 19:00,377,321,2834,6,50
2020-03-29 13:00,380,320,2851,6,54
2020-03-30 8:10,399,317,2937,6,76
2020-03-30 18:10,409,292,3068,7,110
2020-03-31 7:45,414,296,3131,7,111
2020-03-31 19:30,420,273,3256,7,140
2020-04-01 9:25,420,273,3281,7,140
2020-04-01 19:20,429,270,3406,7,152
2020-04-02 9:35,429,268,3444,7,154
2020-04-02 19:05,440,264,3562,7,169
2020-04-03 9:35,455,279,,7,169
2020-04-03 20:00,476,279,3815,9,188
2020-04-04 16:20,489,284,3936,9,196
2020-04-05 18:15,512,297,4030,11,204
2020-04-06 15:50,518,297,4111,16,205
2020-04-07 8:00,532,296,4334,17,219
2020-04-07 16:15,538,285,4422,19,234
2020-04-08 7:55,554,296,4527,20,238
2020-04-09 7:15,572,304,4683,21,247
2020-04-10 10:30,593,303,4864,21,269
2020-04-10 16:00,593,290,4902,21,282
2020-04-11 11:30,605,290,4988,22,293
2020-04-11 16:00,606,280,5006,22,304
2020-04-12 10:30,611,285,5043,22,304
2020-04-12 17:00,613,273,5078,25,315
2020-04-13 10:30,616,276,5112,25,315
2020-04-13 18:00,617,265,5155,26,326
2020-04-14 19:15,624,255,5284,26,343
2020-04-15 7:45,629,260,5355,26,343
2020-04-15 18:45,640,263,5429,27,350
2020-04-16 8:00,647,264,5493,27,356
2020-04-16 18:30,650,257,5523,28,365
2020-04-17 7:45,657,258,5510,28,371
2020-04-17 22:00,671,250,5554,30,391
2020-04-18 15:00,676,255,5699,30,391
2020-04-19 16:30,680,255,5702,30,395
2020-04-20 7:50,682,257,5710,30,395
2020-04-20 15:50,684,238,5814,31,415
2020-04-21 7:45,688,241,5880,31,416
2020-04-22 7:40,698,235,6034,31,432
2020-04-22 15:10,701,188,6103,31,482
2020-04-23 7:40,712,199,6158,31,482
2020-04-23 20:15,714,176,6275,31,507
2020-04-24 8:00,714,176,6303,31,507
2020-04-24 13:50,718,171,6374,31,516
2020-04-25 16:30,727,180,6479,31,516
2020-04-26 17:00,728,180,6540,32,516
2020-04-27 9:40,730,182,6553,32,516
2020-04-27 15:05,730,161,6637,32,537
2020-04-28 8:15,731,162,6706,32,537
